name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"PRAUSE, J.",Social Science,UC Irvine,,2.5,2.8816666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.6303656,0
"HOUSTON, K.",Education,UC Irvine,70,2.8,3.61809523809524,0,0,0,0,4,0,0,0,0,0,0,6,4,3,0,4,3.6,3.6293616,21
"FRANZ, M.",Computer Science,UC Irvine,84,3.8,3.88,0,3,0,0,0,3,0,0,0,4,3,3,0,0,0,0,3.6,3.629104,16
"ROBBINS, T.",Economics,UC Irvine,56,5.0,2.830555555555556,0,0,5,0,12,0,4,7,12,0,0,0,0,0,0,4,3.6,3.6273098,44
"EBRAHIMI, P.",Electrical Engineering,UC Irvine,62,2.9,2.748,0,0,0,0,4,0,4,3,6,0,0,5,0,0,0,3,3.5,3.626878,25
"KOROBKOVA, K.",Education,UC Irvine,67,2.7,3.415,0,6,12,0,0,0,0,0,0,0,0,0,6,7,0,4,3.6,3.6265156,35
"CHEN, Y.",Asian Studies,UC Irvine,43,2.6,3.3920833333333333,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.6231008,3
"ANDERSON, L.",Writing,UC Irvine,67,2.9,3.524,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3.6,3.6221023,3
"AGHAKOUCHAK, A.",Civil Engineering,UC Irvine,50,3.1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,3.620702,0
"GARFIN, D.",Psychology & Social Behavior,UC Irvine,65,3.6,3.3035294117647056,6,0,0,0,0,6,0,0,0,0,0,8,5,6,0,0,3.6,3.6198869,31
"BUTTS, C.",Social Science,UC Irvine,100,2.5,2.879375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.6188638,0
"SAPHORES, J.",Environmental Science,UC Irvine,,2.7,3.079285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,3.6185424,0
"MANG, S.",Chemistry,UC Irvine,55,4.3,3.1766964285714283,7,0,0,3,8,5,3,0,0,0,0,0,0,0,0,10,3.6,3.6164284,36
"KOMAROVA, N.",Mathematics,UC Irvine,80,3.4,2.837142857142857,6,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,3.7,3.6153228,17
"KHERADVAR, A.",Biomedical,UC Irvine,100,3.4,3.261818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6152854,0
"AHMED, I.",Informatics,UC Irvine,40,3.0,3.770000000000001,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2.5,3.6151726,3
"MORISI, E.",French,UC Irvine,100,3.1,2.9025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.6131034,0
"CONNELL, C.",Humanities,UC Irvine,75,3.1,2.850909090909091,0,0,6,0,3,0,0,0,0,0,0,8,3,5,0,0,3.5,3.6129837,25
"QURESHI, A.",Humanities,UC Irvine,62,3.3,2.32,0,0,0,4,4,0,0,0,0,0,0,3,5,7,0,0,3.6,3.612927,23
"RYCHNOVSKY, S.",Chemistry,UC Irvine,80,3.0,2.96375,4,0,7,4,0,3,0,0,5,0,0,3,0,0,6,0,3.9,3.6117544,32
"DILLON, H.",Social Ecology Administration,UC Irvine,50,3.0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.611491,0
"IVANISVILI, P.",Mathematics,UC Irvine,50,3.0,3.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.611491,0
"MILNE, A.",History,UC Irvine,,4.0,3.3600000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.6098032,0
"MURATA, M.",Music,UC Irvine,,4.0,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6098032,0
"ALAO, N.",Social Science,UC Irvine,64,2.0,3.435714285714286,4,0,0,11,0,0,0,3,0,0,0,3,0,0,0,0,3.4,3.6090686,21
"HANCOCK, S.",Statistics,UC Irvine,,3.0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6081831,0
