name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"UBAN, K.",Public Health,UC Irvine,100,2.0,3.715,6,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,5.0,4.92433,15
"CLONTZ, A.",Writing,UC Irvine,100,3.5,2.9964705882352938,0,0,0,0,0,6,0,0,0,0,0,3,8,0,4,4,5.0,4.9237313,25
"WILSON, K.",Biological Sciences,UC Irvine,100,1.0,2.47,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.923708,6
"SMITH-NEWMAN, J.",Writing,UC Irvine,94,3.5,3.498,0,4,7,0,0,9,0,0,0,3,3,11,13,0,0,0,5.0,4.922913,50
"BAKER, R.",Education,UC Irvine,100,2.5,3.481666666666668,0,3,3,0,0,0,0,0,0,0,5,3,4,0,5,0,4.7,4.921352,23
"FORNER, S.",Biological Sciences,UC Irvine,100,2.3,3.455,4,0,0,0,0,0,0,0,0,0,3,4,0,4,4,0,5.0,4.920191,19
"WOOD, A.",Writing,UC Irvine,100,4.0,3.1933333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.919853,0
"SELLGREN, S.",Political Science,UC Irvine,91,3.5,3.3233333333333337,4,6,8,0,4,0,4,4,0,0,0,4,3,0,0,0,5.0,4.918823,37
"ROBERTSON, P.",Physics & Astronomy,UC Irvine,95,2.8,3.306666666666666,5,4,0,0,0,3,4,8,3,0,4,3,0,6,0,0,4.9,4.9175963,40
"GIANNOPOULOU, Z.",Classics,UC Irvine,96,3.0,3.357,0,4,0,0,0,3,0,0,0,12,0,6,0,0,0,0,5.0,4.916589,25
"CONCHAS, G.",Education,UC Irvine,100,1.0,3.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.911589,0
"STROBEL, C.",Sociology,UC Irvine,100,1.0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.911589,0
"GONZALEZ, C.",Physics & Astronomy,UC Irvine,100,1.0,3.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.911589,0
"PALTING, J.",Art,UC Irvine,96,2.3,4.0,4,3,0,0,0,4,0,0,0,5,0,7,16,7,0,0,4.9,4.9097314,46
"MIJALSKI, M.",French,UC Irvine,100,2.3,3.500240963855422,0,0,0,0,0,0,0,0,0,3,0,5,5,3,0,0,5.0,4.9094768,16
"PEACE, S.",Writing,UC Irvine,100,2.0,3.204615384615385,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5.0,4.9088845,3
"BECKMANN, M.",Political Science,UC Irvine,92,2.3,3.604545454545456,0,7,4,0,0,0,0,0,0,6,5,4,0,0,13,0,4.8,4.908538,39
"JHA, N.",Biological Sciences,UC Irvine,100,2.9,3.545967741935484,4,3,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5.0,4.9084945,14
"GOLDBERG, R.",Sociology,UC Irvine,100,2.3,3.3131578947368414,7,4,0,0,0,0,0,0,0,0,3,6,0,0,0,0,4.9,4.9070096,20
"INLAY, M.",Biological Sciences,UC Irvine,100,2.5,3.6375,4,4,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4.7,4.9068666,18
"WOOD, J.",Writing,UC Irvine,100,2.0,3.4447999999999994,4,7,0,0,0,5,0,0,0,3,0,7,11,0,0,0,5.0,4.906368,37
"TAHA, H.",Mechanical Engineering,UC Irvine,93,3.6,3.667666666666667,0,5,0,0,0,4,0,0,0,6,5,0,7,0,0,0,4.9,4.906079,27
"BUI, L.",International Studies,UC Irvine,100,1.6,3.63,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5.0,4.9052744,12
"TURNBULL, T.",Political Science,UC Irvine,100,3.0,3.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.905173,0
"DAVIS, K.",Civil Engineering,UC Irvine,100,2.0,3.23375,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9043636,3
"GUINDANI, M.",Statistics,UC Irvine,100,4.0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9030137,0
"DALY, A.",Writing,UC Irvine,100,2.6,3.4978260869565223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,4.9028997,0
"WANG, Z.",Mathematics,UC Irvine,100,5.0,2.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9028716,0
"CHERI, A.",Education,UC Irvine,100,2.0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.8999257,0
"LEE, H.",Physics & Astronomy,UC Irvine,100,3.8,3.3598089171974523,4,0,0,0,0,0,0,0,0,0,0,13,0,7,0,0,5.0,4.899815,24
